Chapter-Verse,Sloka (Sanskrit),Sloka (English Translation),Meaning/Interpretation,Famous Quotes,Persons,Comparison/Relations
11:33,"तस्मात्त्वमुत्तिष्ठ यशो लभस्व
जित्वा शत्रून् भुङ्क्ष्व राज्यं समृद्धम्।
मयैवैते निहताः पूर्वमेव
निमित्तमात्रं भव सव्यसाचिन्॥ ११-३३॥","Therefore, arise and attain glory! Conquer your enemies and enjoy a prosperous kingdom. They are already slain by Me; you are only an instrument, O Arjuna.","Krishna urges Arjuna to perform his duty without hesitation, for destiny has already been written. He must act as an instrument of the divine will.","Do your work with all your heart, and you will succeed—there is so little competition.",Elbert Hubbard,"Like Krishna’s advice, Hubbard emphasizes taking action with determination rather than doubting fate."
11:34,"द्रोणं च भीष्मं च जयद्रथं च
कर्णं तथान्यानपि योधवीरान्।
मया हतांस्त्वं जहि मा व्यथिष्ठा
युद्धस्य जेतासि रणे सपत्नान्॥ ११-३४॥","Drona, Bhishma, Jayadratha, Karna, and other brave warriors have already been slain by Me. Do not hesitate; fight! You shall vanquish your enemies in battle.",Krishna reassures Arjuna that great warriors are already fated to die. His role is merely to carry out his duty without attachment.,"Courage is not the absence of fear, but the ability to act despite it.",Mark Twain,"Krishna encourages Arjuna to act without fear, just as Twain suggests that courage is taking action despite doubts."
11:35,"सञ्जय उवाच:
एतच्छ्रुत्वा वचनं केशवस्य
कृताञ्जलिर्वेपमानः किरीटी।
नमस्कृत्वा भूय एवाह कृष्णं
सगद्गदं भीतभीतः प्रणम्य॥ ११-३५॥","Sanjaya said: Hearing these words of Krishna, Arjuna, trembling with folded hands, bowed down repeatedly in great fear. Overwhelmed, he spoke to Krishna in a choked voice.","Arjuna, realizing Krishna’s immense power, is shaken by awe and fear. This marks the moment of his complete surrender.","The moment of surrender is not when life is over, it’s when it begins.",Marianne Williamson,"Like Williamson’s idea, Arjuna’s surrender to Krishna does not mark defeat but a new beginning—the path of true wisdom."
11:36,"अर्जुन उवाच:
स्थाने हृषीकेश तव प्रकीर्त्या
जगत्प्रहृष्यत्यनुरज्यते च।
रक्षांसि भीतानि दिशो द्रवन्ति
सर्वे नमस्यन्ति च सिद्धसंघाः॥ ११-३६॥","Arjuna said: O Hrishikesha (Krishna), it is right that the world rejoices in singing Your glories. Demons flee in fear from all directions, and hosts of sages bow before You in reverence.","Arjuna acknowledges that both the righteous and the wicked react differently to Krishna's divine form—devotees worship Him, while evil forces tremble in fear.","The whole secret of a successful life is to find out what is one’s destiny to do, and then do it.",Henry Ford,"Just as Arjuna realizes Krishna’s cosmic role, Ford emphasizes the importance of discovering and following one’s destiny."
11:37,"कस्माच्च ते न नमेरन्महात्मन्
गरीयसे ब्रह्मणोऽप्यादिकर्त्रे।
अनन्त देवेश जगन्निवास
त्वमक्षरं सत्यमसत्तत्परं यत्॥ ११-३७॥","O Great One! Why should they not bow before You, the eternal creator of even Brahma? You are the infinite, supreme refuge of the universe. You are imperishable—both the eternal truth and that which transcends it.","Krishna is beyond creation and destruction, and even Brahma (the creator) comes from Him. Arjuna acknowledges Krishna’s infinite power.","When we are no longer able to change a situation, we are challenged to change ourselves.",Viktor E. Frankl,"Like Frankl’s wisdom, Arjuna realizes that accepting Krishna’s supremacy brings clarity rather than resistance."
11:38,"त्वमादिदेवः पुरुषः पुराणः
त्वमस्य विश्वस्य परं निधानम्।
वेत्तासि वेद्यं च परं च धाम
त्वया ततं विश्वमनन्तरूप॥ ११-३८॥","You are the Primeval God, the original Divine Person. You are the Supreme Abode of this entire universe. You are the Knower, the Object of Knowledge, and the Highest Goal. The whole cosmos is pervaded by Your infinite form.",Krishna is both the seeker and the sought-after goal. His presence encompasses everything in creation.,"The mind is everything. What you think, you become.",Buddha,"Krishna’s divine nature mirrors Buddha’s teaching—everything is interconnected, and realization leads to enlightenment."
11:39,"वायुर्यमोऽग्निर्वरुणः शशाङ्कः
प्रजापतिस्त्वं प्रपितामहश्च।
नमो नमस्तेऽस्तु सहस्रकृत्वः
पुनश्च भूयोऽपि नमो नमस्ते॥ ११-३९॥","You are the wind, death, fire, water, the moon, and the progenitor of all beings. O Supreme Lord, I offer countless prostrations unto You again and again!","Arjuna realizes Krishna’s omnipresence—He exists in all elements, all deities, and every force of nature.",Gratitude turns what we have into enough.,Melody Beattie,"Just as gratitude brings peace, Arjuna’s deep reverence leads him to surrender completely."
11:40,"नमः पुरस्तादथ पृष्ठतस्ते
नमोऽस्तु ते सर्वत एव सर्व।
अनन्तवीर्यामितविक्रमस्त्वं
सर्वं समाप्नोषि ततोऽसि सर्वः॥ ११-४०॥","I bow to You from all directions—front, behind, and everywhere! O Infinite Power, Your strength is limitless, and You pervade all of existence.","Krishna is boundless, beyond any one form, time, or space. Arjuna’s surrender is complete and unconditional.","The more you let go, the higher you rise.",Anonymous,"Like this saying, Arjuna rises spiritually by letting go of his ego and surrendering to Krishna."
11:41,"सखेति मत्वा प्रसभं यदुक्तं
हे कृष्ण हे यादव हे सखेति।
अजानता महिमानं तवेदं
मया प्रमादात्प्रणयेन वापि॥ ११-४१॥","Thinking of You as my friend, I may have rashly addressed You as ""Krishna,"" ""Yadava,"" or ""my dear companion,"" unaware of Your supreme majesty.",Arjuna recalls how he casually interacted with Krishna as a friend and now regrets his ignorance. He realizes Krishna is not just a friend but the Supreme Lord.,The greatest wisdom is seeing through appearances.,Gautama Buddha,"Like Buddha’s wisdom, Arjuna now sees beyond Krishna’s human form and recognizes His divine identity."
11:42,"यच्चावहासार्थमसत्कृतोऽसि
विहारशय्यासनभोजनेषु।
एकोऽथवाप्यच्युत तत्समक्षं
तत्क्षामये त्वामहमप्रमेयम्॥ ११-४२॥","Whether in jest, in rest, in meals, or in solitude, O Achyuta (Infallible One), I may have disrespected You unknowingly. I now seek Your forgiveness, O Incomprehensible One.","Arjuna humbly seeks pardon for any moments where he took Krishna’s presence lightly, realizing now that Krishna is beyond human perception.","To err is human, to forgive divine.",Alexander Pope,"Just as Pope emphasizes forgiveness, Arjuna hopes Krishna, in His divine nature, will forgive his past mistakes."
11:43,"पितासि लोकस्य चराचरस्य
त्वमस्य पूज्यश्च गुरुर्गरीयान्।
न त्वत्समोऽस्त्यभ्यधिकः कुतोऽन्यो
लोकत्रयेऽप्यप्रतिमप्रभाव॥ ११-४३॥","You are the Father of this entire world—both moving and non-moving beings. You are most revered, the greatest Guru! There is no one equal to You, let alone greater than You, in all the three worlds.","Arjuna fully surrenders—he now sees Krishna as the Supreme Guru, the Universal Father, and the Most Worshiped.","The only real teacher is the one who shows you where to look, but doesn’t tell you what to see.",Alexandra K. Trenfor,"Like a true guru, Krishna has revealed the ultimate reality, allowing Arjuna to see the truth on his own."
11:44,"तस्मात्प्रणम्य प्रणिधाय कायं
प्रसादये त्वामहमीशमीड्यम्।
पितेव पुत्रस्य सखेव सख्युः
प्रियः प्रियायार्हसि देव सोढुम्॥ ११-४४॥","Therefore, bowing down fully, I seek Your grace, O Worshipable Lord! Just as a father forgives his son, a friend forgives a friend, or a beloved forgives a loved one, O Lord, please forgive me.","Arjuna compares Krishna’s compassion to a father’s love, a friend’s loyalty, and a beloved’s kindness. He pleads for forgiveness with deep sincerity.","Forgiveness does not change the past, but it does enlarge the future.",Paul Boese,"Like Boese’s wisdom, Arjuna realizes that seeking Krishna’s forgiveness allows him to move forward spiritually."
12:1,"अर्जुन उवाच
एवं सततयुक्ता ये भक्तास्त्वां पर्युपासते।
ये चाप्यक्षरमव्यक्तं तेषां के योगवित्तमाः॥ १२-१॥","Arjuna asked:
Among those who worship You personally with devotion, and those who worship the formless, imperishable Brahman, who is more perfect in yoga?",Arjuna is curious—should one worship Krishna personally (Saguna Bhakti) or meditate on the formless Brahman (Nirguna Bhakti)?,The way is not in the sky. The way is in the heart.,Gautama Buddha,"Like Buddha, Krishna will soon explain that devotion from the heart is superior to abstract intellectual worship."
12:2,"श्रीभगवानुवाच
मय्यावेश्य मनो ये मां नित्ययुक्ता उपासते।
श्रद्धया परयोपेतास्ते मे युक्ततमा मताः॥ १२-२॥","Krishna replied:
Those who fix their minds on Me, worship Me constantly with faith and love—I consider them the most perfect in yoga.",Krishna directly answers—those who surrender with love and devotion (Bhakti Yoga) attain Him easily and joyfully.,Faith is taking the first step even when you don’t see the whole staircase.,Martin Luther King Jr.,"Just like faith in devotion leads to union with Krishna, King Jr. speaks of faith leading to progress in life."
12:3,"ये त्वक्षरमनिर्देश्यमव्यक्तं पर्युपासते।
सर्वत्रगमचिन्त्यं च कूटस्थमचलंध्रुवम्॥ १२-३॥","But those who worship the formless, indescribable, all-pervading, unchanging, eternal Brahman,","Here, Krishna acknowledges Nirguna Bhakti—devotion to the formless Supreme Reality (Brahman).",The soul always knows what to do to heal itself. The challenge is to silence the mind.,Caroline Myss,"Like Nirguna Bhakti, inner silence and deep meditation lead to self-realization."
12:4,"सन्नियम्येन्द्रियग्रामं सर्वत्र समबुद्धयः।
ते प्राप्नुवन्ति मामेव सर्वभूतहिते रताः॥ १२-४॥","By controlling their senses, being equal-minded to all, and being dedicated to the welfare of all beings, they too attain Me.","Krishna reveals that both paths (Personal Bhakti & Nirguna Bhakti) lead to Him, but self-discipline & service are required for Nirguna Bhakti.",The best way to find yourself is to lose yourself in the service of others.,Mahatma Gandhi,"Like Krishna’s words, Gandhi highlights selfless service as a path to realization."
12:5,"क्लेशोऽधिकतरस्तेषामव्यक्तासक्तचेतसाम्।
अव्यक्ता हि गतिर्दुःखं देहवद्भिरवाप्यते॥ १२-५॥","The path of the formless Absolute is difficult for those attached to the body, as it is troublesome and requires intense effort.","Krishna warns that Nirguna Bhakti (meditation on the formless) is very hard, while Saguna Bhakti (personal devotion) is easier and filled with joy.",Simplicity is the ultimate sophistication.,Leonardo da Vinci,"Krishna implies that a simple, loving devotion is the easiest and most fulfilling spiritual path."
12:6,"ये तु सर्वाणि कर्माणि मयि संन्यस्य मत्पराः।
अनन्येनैव योगेन मां ध्यायन्त उपासते॥ १२-६॥","But those who surrender all actions to Me, considering Me as their supreme goal, and worship Me with unwavering devotion,",Krishna highlights that surrendering all actions to Him and having undivided devotion makes the path easier.,Let go and let God.,Anonymous,"True Bhakti means complete surrender, just as faith teaches us to trust in a higher power."
12:7,"तेषामहं समुद्धर्ता मृत्युसंसारसागरात्।
भवामि नचिरात्पार्थ मय्यावेशितचेतसाम्॥ १२-७॥","For such devoted souls, I quickly rescue them from the ocean of birth and death.",Krishna personally takes care of those who fully surrender to Him.,God is closest to those with broken hearts.,Jewish Proverb,"When life becomes difficult, true devotion (Bhakti) brings divine protection."
12:8,"मय्येव मन आधत्स्व मयि बुद्धिं निवेशय।
निवसिष्यसि मय्येव अत ऊर्ध्वं न संशयः॥ १२-८॥",Fix your mind and intellect on Me alone—then you will surely live in Me. No doubt about it!,Krishna assures that meditating on Him leads to eternal bliss & divine presence.,You become what you think about most of the time.,Earl Nightingale,"Just as our thoughts shape our reality, devotion to Krishna transforms one’s life."
12:9,"अथ चित्तं समाधातुं न शक्नोषि मयि स्थिरम्।
अभ्यासयोगेन ततो मामिच्छाप्तुं धनञ्जय॥ १२-९॥","If you cannot fix your mind on Me, then try again and again through practice (Abhyasa Yoga).","Krishna understands that full surrender is difficult, so He recommends practice and patience.",Practice makes perfect.,Anonymous,"Like learning a new skill, Bhakti requires consistent practice."
12:10,"अभ्यासेऽप्यसमर्थोऽसि मत्कर्मपरमो भव।
मदर्थमपि कर्माणि कुर्वन्सिद्धिमवाप्स्यसि॥ १२-१०॥","If you cannot practice constant meditation, then just do all your actions for My sake—this will also lead to perfection.","If full surrender & meditation are hard, Krishna advises dedicating actions to Him as a simple way to attain Him.",Work done in the spirit of service is the highest form of worship.,Swami Vivekananda,"Even if one cannot meditate daily, doing selfless work in the name of Krishna is another powerful spiritual path."
12:11,"अथैतदप्यशक्तोऽसि कर्तुं मद्योगमाश्रितः।
सर्वकर्मफलत्यागं ततः कुरु यतात्मवान्॥ १२-११॥","If you are unable to dedicate your actions to Me, then simply renounce the fruits of your actions with self-control.","If surrender, meditation, and devotional service seem difficult, then the simplest form of Bhakti is to let go of attachment to results and perform duties selflessly.","Do your work with all your heart, and you will succeed—there’s so little competition.",Elbert Hubbard,"Renouncing results and working sincerely allows peace and spiritual growth, similar to performing work without expectations."
12:12,"श्रेयो हि ज्ञानमभ्यासाज्ज्ञानाद्ध्यानं विशिष्यते।
ध्यानात्कर्मफलत्यागस्त्यागाच्छान्तिरनन्तरम्॥ १२-१२॥","Better than practice is knowledge, better than knowledge is meditation, and better than meditation is renouncing the fruits of action—for that brings peace.","Krishna offers a progressive path: practice → knowledge → meditation → renunciation of results, where peace is the ultimate reward of selfless action.","The secret of happiness is freedom, and the secret of freedom is courage.",Thucydides,"By letting go of expectations, one achieves inner peace, just as detachment leads to true freedom."
12:13,"अद्वेष्टा सर्वभूतानां मैत्रः करुण एव च।
निर्ममो निरहंकारः समदुःखसुखः क्षमी॥ १२-१३॥","One who is free from hatred, friendly and compassionate, without possessiveness and ego, and remains calm in pleasure and pain, that devotee is dear to Me.","Krishna describes the qualities of His dearest devotees: kindness, humility, patience, and equanimity in all situations.",The fragrance always stays in the hand that gives the rose.,Hada Bejar,"A true devotee, like a generous giver, spreads kindness and remains unshaken by difficulties."
12:14,"संतुष्टः सततं योगी यतात्मा दृढनिश्चयः।
मय्यर्पितमनोबुद्धिर्यो मद्भक्तः स मे प्रियः॥ १२-१४॥","One who is always content, disciplined, self-controlled, and firm in resolve, with mind and intellect dedicated to Me, that devotee is dear to Me.","A devotee who finds joy in devotion, stays disciplined, and remains firm in faith is truly loved by Krishna.",Happiness depends upon ourselves.,Aristotle,"Just as true happiness comes from within, spiritual contentment comes from surrendering to God."
12:15,"यस्मान्नोद्विजते लोको लोकान्नोद्विजते च यः।
हर्षामर्षभयोद्वेगैर्मुक्तो यः स च मे प्रियः॥ १२-१५॥","One who does not disturb others nor is disturbed by others, who is free from joy, anger, fear, and anxiety, that devotee is dear to Me.","Krishna explains that a true devotee neither causes harm nor gets affected by external disturbances, living in peace and harmony.",The best way to find yourself is to lose yourself in the service of others.,Mahatma Gandhi,"Just as a selfless person remains unshaken, a devotee immersed in love for Krishna stays peaceful and undisturbed."
12:16,"अनपेक्षः शुचिर्दक्ष उदासीनो गतव्यथः।
सर्वारम्भपरित्यागी यो मद्भक्तः स मे प्रियः॥ १२-१६॥","One who is free from expectations, pure, skillful, indifferent, free from distress, and renounces all undertakings—such a devotee is dear to Me.","Krishna describes the ideal devotee as self-sufficient, pure in heart, efficient in action, detached from worldly distractions, and without personal motives.",Expect nothing. Live frugally on surprise.,Alice Walker,"A life without expectations brings peace, just as devotion without attachment leads to inner contentment."
12:17,"यो न हृष्यति न द्वेष्टि न शोचति न काङ्क्षति।
शुभाशुभपरित्यागी भक्तिमान्यः स मे प्रियः॥ १२-१७॥","One who neither rejoices nor hates, neither grieves nor desires, who renounces both good and evil, and is full of devotion—that devotee is dear to Me.","A true devotee remains unaffected by pleasure or pain, accepting life as it comes without attachment to outcomes.",Peace comes from within. Do not seek it without.,Buddha,"Inner peace is achieved by giving up extremes of emotion, just as Krishna teaches detachment from worldly happiness and sorrow."
12:18,"समः शत्रौ च मित्रे च तथा मानापमानयोः।
शीतोष्णसुखदुःखेषु समः सङ्गविवर्जितः॥ १२-१८॥","One who is equal towards friend and foe, honor and dishonor, heat and cold, pleasure and pain, and is free from all attachment—that devotee is dear to Me.",Krishna emphasizes equanimity in all situations—treating enemies and friends alike and remaining unshaken by external circumstances.,The measure of intelligence is the ability to change.,Albert Einstein,True intelligence and devotion come from adapting to life’s changes without losing inner balance.
12:19,"तुल्यनिन्दास्तुतिर्मौनी सन्तुष्टो येन केनचित्।
अनिकेतः स्थिरमतिर्भक्तिमान्मे प्रियो नरः॥ १२-१९॥","One who regards praise and criticism alike, is silent, content with whatever comes, without a fixed home, and is steady in mind—that devotee is dear to Me.","A devotee should not be affected by flattery or insult and must find peace within, regardless of external circumstances.","Do not dwell in the past, do not dream of the future, concentrate the mind on the present moment.",Buddha,"Living in the present without attachment leads to mental stability, as Krishna teaches."
12:20,"ये तु धर्म्यामृतमिदं यथोक्तं पर्युपासते।
श्रद्दधाना मत्परमा भक्तास्तेऽतीव मे प्रियाः॥ १२-२०॥","Those who follow this path of immortal righteousness, with faith and devotion, making Me their supreme goal, are exceedingly dear to Me.",Krishna concludes Bhakti Yoga by stating that those who follow these virtues with unwavering faith are the closest to Him.,Faith is taking the first step even when you don’t see the whole staircase.,Martin Luther King Jr.,"True faith, like devotion, requires trust in the unseen path and surrender to the divine."
13:1,"श्रीभगवानुवाच । इदं शरीरं कौन्तेय क्षेत्रमित्यभिधीयते ।
 एतद्यो वेत्ति तं प्राहुः क्षेत्रज्ञ इति तद्विदः ॥","The Blessed Lord said: This body, O Arjuna, is called the field, and he who knows it is called the knower of the field by those who know the truth.",Krishna introduces the concept of the body as a field (Kshetra) and the soul as the knower of that field (Kshetrajna).,“Know thyself.”,Socrates,"Just as Socrates emphasized self-knowledge, Krishna urges Arjuna to understand the body and the soul's relation to it."
13:2,"क्षेत्रज्ञं चापि मां विद्धि सर्वक्षेत्रेषु भारत ।
 क्षेत्रक्षेत्रज्ञयोर्ज्ञानं यत्तज्ज्ञानं मतं मम ॥","O scion of Bharat, know Me also to be the Knower in all fields; the knowledge of the field and its knower I consider to be true knowledge.","Krishna reveals that He is the supreme Knower in all bodies, emphasizing the unity of consciousness across all beings.",“The divine is not distant; it is within all.”,Upanishads,Upanishadic teachings echo Krishna’s idea of universal consciousness.
13:3,"तत्क्षेत्रं यच्च यादृक्च यद्विकारि यतश्च यत् ।
 स च यो यत्प्रभावश्च तत्सामासेन मे श्रृणु ॥","Hear from Me briefly about what the field is, its nature, modifications, origin, and also the knower’s powers.",Krishna outlines the aspects of the body and consciousness to build a foundation for spiritual knowledge.,"“To understand life, understand its roots.”",Carl Jung,Understanding the components of the self aligns with Jung's analytical psychology.
13:4,"ऋषिभिर्बहुधा गीतं छन्दोभिर्विविधैः पृथक् ।
 ब्रह्मसूत्रपदैश्चैव हेतुमद्भिर्विनिश्चितैः ॥","The sages have sung about the field and its knower in various ways, in different Vedic hymns and in the well-reasoned and conclusive Brahma Sutras.","This knowledge has been validated by ancient rishis and scriptures, establishing its authenticity.","“Truth is one, sages call it by many names.”",Rigveda,"Krishna references scriptural consistency, just like Rigveda’s pluralistic wisdom."
13:5,"महाभूतान्यहंकारो बुद्धिरव्यक्तमेव च ।
 इन्द्रियाणि दशैकं च पञ्च चेन्द्रियगोचराः ॥","The great elements, ego, intellect, the unmanifest, the ten senses and one mind, and the five objects of the senses —",Breaks down the constitution of the body into physical and subtle components.,“We are not human beings having a spiritual experience; we are spiritual beings having a human experience.”,Pierre Teilhard de Chardin,This holistic view aligns with Krishna’s explanation of our physical and spiritual nature.
13:6,"इच्छा द्वेषः सुखं दुःखं संघातश्चेतना धृतिः ।
 एतत्क्षेत्रं समासेन सविकारमुदाहृतम् ॥","Desire, hatred, happiness, sorrow, the aggregate, consciousness, and firmness — this is the field with its modifications briefly described.",These psychological and emotional elements complete the description of the body.,“Mastering others is strength. Mastering yourself is true power.”,Lao Tzu,Krishna's view reflects inner mastery which Lao Tzu also emphasized.
13:7,"अमानित्वमदम्भित्वमहिंसा क्षान्तिरार्जवम् ।
 आचार्योपासनं शौचं स्थैर्यमात्मविनिग्रहः ॥","Humility, unpretentiousness, non-violence, patience, uprightness, service to the teacher, cleanliness, steadiness, and self-control.",Lists virtues that constitute true knowledge and spiritual progress.,“Humility is the solid foundation of all virtues.”,Confucius,Virtue ethics in Confucianism echo Krishna’s teachings on self-cultivation.
13:8,"इन्द्रियार्थेषु वैराग्यमनहंकार एव च ।
 जन्ममृत्युजराव्याधिदुःखदोषानुदर्शनम् ॥","Detachment from sense objects, absence of egoism, and awareness of the evils of birth, death, old age, and disease.",Detachment and awareness of life’s transient pain are key to wisdom.,"“Detachment is not that you own nothing, but that nothing owns you.”",Ali ibn Abi Talib,Krishna’s view of non-attachment aligns with spiritual detachment taught in Islam.
13:9,"असक्तिरनभिष्वङ्गः पुत्रदारगृहादिषु ।
 नित्यं च समचित्तत्वमिष्टानिष्टोपपत्तिषु ॥","Absence of attachment, non-clinging to family, and equanimity in favorable and unfavorable situations.",Emphasizes balance in relationships and circumstances.,"“Happiness is not in having everything, but in being detached from everything.”",Osho,Krishna's call for equanimity is deeply reflected in Osho's vision of inner detachment.
13:10,"मयि चानन्ययोगेन भक्तिरव्यभिचारिणी ।
 विविक्तदेशसेवित्वमरतिर्जनसंसदि ॥","Unwavering devotion to Me, love of solitude, and distaste for social engagements.",Encourages single-minded devotion and introspective living.,“Silence is a source of great strength.”,Lao Tzu,The solitary path of devotion aligns with Taoist value for silence and introspection.
13:11,"अध्यात्मज्ञाननित्यत्वं तत्त्वज्ञानार्थदर्शनम् ।
 एतज्ज्ञानमिति प्रोक्तमज्ञानं यदतोऽन्यथा ॥",Constancy in spiritual knowledge and the pursuit of understanding the truth—this is declared as knowledge; all else is ignorance.,True knowledge lies in consistent spiritual pursuit and the ability to discern truth from illusion.,“To know oneself is the beginning of all wisdom.”,Aristotle,Both Krishna and Aristotle place the self at the center of wisdom.
13:12,"ज्ञेयं यत्तत्प्रवक्ष्यामि यज्ज्ञात्वामृतमश्नुते ।
 अनादिमत्परं ब्रह्म न सत्तन्नासदुच्यते ॥","I will explain what is to be known, knowing which one attains immortality. It is the beginningless Supreme Brahman, which is said to be neither being nor non-being.","Krishna introduces Brahman, the supreme consciousness beyond dualities.",“The Tao that can be told is not the eternal Tao.”,Lao Tzu,Brahman’s formless nature mirrors the Tao in Taoist philosophy.
13:13,"सर्वतः पाणिपादं तत्सर्वतोऽक्षिशिरोमुखम् ।
 सर्वतः श्रुतिमल्लोके सर्वमावृत्य तिष्ठति ॥","With hands and feet everywhere, eyes, heads and mouths everywhere, It exists in all beings, enveloping the whole world.",Describes the omnipresence of the Supreme as pervading all forms of life.,“God is an infinite circle whose center is everywhere and circumference nowhere.”,Nicolas of Cusa,Both portray the divine as limitless and all-pervading.
13:14,"सर्वेन्द्रियगुणाभासं सर्वेन्द्रियविवर्जितम् ।
 असक्तं सर्वभृच्चैव निर्गुणं गुणभोक्तृ च ॥","Though It appears to possess all senses, It is devoid of senses; unattached, yet sustaining all; beyond qualities, yet the enjoyer of qualities.",The divine being transcends all contradictions—without attributes but interacting with them.,"“He acts without doing, and without effort he accomplishes all.”",Lao Tzu,Resonates with Taoist non-action (wu wei) and divine detachment.
13:15,"बहिरन्तश्च भूतानामचरं चरमेव च ।
 सूक्ष्मत्वात्तदविज्ञेयं दूरस्थं चान्तिके च तत् ॥","It exists both outside and inside all beings; moving and unmoving. Being subtle, it is unknowable; it is far and near.",Explains the subtle yet all-pervading nature of divine reality.,“The kingdom of God is within you.”,Jesus Christ,Both Krishna and Jesus highlight the indwelling presence of the divine.
13:16,"अविभक्तं च भूतेषु विभक्तमिव च स्थितम् ।
 भूतभर्तृ च तज्ज्ञेयं ग्रसिष्णु प्रभविष्णु च ॥","Undivided, yet seeming divided in beings; It is to be known as the supporter, destroyer, and creator of all.","Although whole, the divine appears in all forms and functions in creation and dissolution.",“Unity in diversity is the highest possible attainment.”,Swami Vivekananda,This reflects the essence of Advaita: One in many.
13:17,"ज्योतिषामपि तज्ज्योतिस्तमसः परमुच्यते ।
 ज्ञानं ज्ञेयं ज्ञानगम्यं हृदि सर्वस्य विष्ठितम् ॥","It is the light of lights, beyond darkness. It is knowledge, the object of knowledge, and the goal of knowledge, dwelling in the hearts of all.","The divine is the source and aim of all wisdom, hidden in the heart.","“The light shines in the darkness, and the darkness has not overcome it.”",Bible (John 1:5),Both speak of divine light as the supreme wisdom within.
13:18,"इति क्षेत्रं तथा ज्ञानं ज्ञेयं चोक्तं समासतः ।
 मद्भक्त एतद्विज्ञाय मद्भावायोपपद्यते ॥","Thus, the field, knowledge, and the knowable have been briefly explained. My devotee, knowing this, attains My divine nature.","Knowledge of self, the body, and the divine leads to liberation.",“Truth will set you free.”,Jesus Christ,True understanding leads to liberation—core to both Krishna and Christ’s teachings.
13:19,"प्रकृतिं पुरुषं चैव विद्ध्यनादी उभवपि ।
 विकारांश्च गुणांश्चैव विद्धि प्रकृतिसम्भवान् ॥","Know both Nature and the soul to be beginningless, and know that all modifications and qualities arise from Nature.",Differentiates between eternal consciousness (soul) and dynamic nature.,“You are not a drop in the ocean. You are the entire ocean in a drop.”,Rumi,This reflects the coexistence of individuality and universality.
13:20,"कार्यकारणकर्तृत्वे हेतुः प्रकृतिरुच्यते ।
 पुरुषः सुखदुःखानां भोक्तृत्वे हेतुरुच्यते ॥",Nature is the cause of all action; the soul is the cause of experiencing pleasure and pain.,Explains the dual role of prakriti and purusha in creation and experience.,“Pain is inevitable. Suffering is optional.”,Haruki Murakami,Aligns with Krishna’s view that soul experiences outcomes of nature’s activities.
13:21,"पुरुषः प्रकृतिस्थो हि भुङ्क्ते प्रकृतिजान्गुणान् ।
 कारणं गुणसङ्गोऽस्य सदसद्योनिजन्मसु ॥","The soul, residing in nature, enjoys the qualities born of nature. Attachment to these qualities is the cause of birth in good and evil wombs.",Krishna explains how attachment to material qualities binds the soul to the cycle of birth.,“Desire is the root cause of all suffering.”,Gautama Buddha,Both Krishna and Buddha link attachment with rebirth and suffering.
13:22,"उपद्रष्टानुमन्ता च भर्ता भोक्ता महेश्वरः ।
 परमात्मेति चाप्युक्तो देहेऽस्मिन्पुरुषः परः ॥","The Supreme Soul in this body is called the observer, the approver, the supporter, the enjoyer, the great Lord, and the Supreme Self.","The divine is distinct from the individual soul—always witnessing, permitting, and guiding.",“God is closer to you than your own breath.”,Islamic Sufi Proverb,Similar to Krishna's view of the indwelling Supreme Self.
13:23,"य एवं वेत्ति पुरुषं प्रकृतिं च गुणैः सह ।
 सर्वथा वर्तमानोऽपि न स भूयोऽभिजायते ॥","He who understands the soul and nature with its qualities is not born again, regardless of his way of life.",Self-realization liberates one from the cycle of birth and death.,“Liberation is not somewhere else—it’s here and now.”,Jiddu Krishnamurti,Both emphasize inner awakening over external rituals.
13:24,"ध्यानेनात्मनि पश्यन्ति केचिदात्मानमात्मना ।
 अन्ये साङ्ख्येन योगेन कर्मयोगेन चापरे ॥","Some perceive the Self within by meditation, others by Sankhya yoga, and still others by selfless action (karma yoga).",Different spiritual paths lead to the same realization of the Self.,"“Many paths, one destination.”",Hindu Proverb,Krishna promotes unity in diversity among spiritual paths.
13:25,"अन्ये त्वेवमजानन्तः श्रुत्वान्येभ्य उपासते ।
 तेऽपि चातितरन्त्येव मृत्युं श्रुतिपरायणाः ॥","Still others, not knowing this way, begin to worship after hearing from others; they too, being devoted to what they have heard, transcend death.",Even faith and devotion through hearing leads to liberation.,“Faith is taking the first step even when you don't see the whole staircase.”,Martin Luther King Jr.,"Krishna values sincerity and trust, regardless of the method."
13:26,"यावत्सञ्जायते किञ्चित्सत्त्वं स्थावरजङ्गमम् ।
 क्षेत्रक्षेत्रज्ञसंयोगात्तद्विद्धि भरतर्षभ ॥","Know, O best of the Bharatas, that whatever is born—whether moving or unmoving—is due to the union of the field and its knower.",Creation arises from the interplay of matter and spirit.,“Spirit and matter are not separate; they are complementary.”,Albert Einstein,Krishna’s metaphysics align with holistic views in science and spirituality.
13:27,"समं सर्वेषु भूतेषु तिष्ठन्तं परमेश्वरम् ।
 विनश्यत्स्वविनश्यन्तं यः पश्यति स पश्यति ॥","He truly sees who sees the Supreme Lord existing equally in all beings, the imperishable in the perishable.",True wisdom lies in recognizing the divine in all beings.,"“The soul is the same in all living creatures, although the body of each is different.”",Hippocrates,Universal divinity and equality of beings is a shared truth.
